global_id,created_at,updated_at,external_id,deleted_at,name,certificate_number,address1,address2,city,state_code,postal_code,country_code,phone,type,code,is_live,expired_at,suspended
WAWA1.MM1,1/1/1900 00:00,1/1/1900 00:00,1,,WA State,1,,,,,,US,,state,WA1,TRUE,,FALSE
WAWA1.MM2,1/1/1900 00:00,2/21/2018 07:47,1111,2/21/2018 07:47,LCB Grow,9876544321,555 Brown St,,Olympia,WA,98101,US,206-555-1212,cultivator,G892365,TRUE,,FALSE
WAWA1.MM3,1/1/1900 00:00,2/21/2018 07:47,2222,2/21/2018 07:47,LCB Mfg,9876544321,555 Brown St,,Olympia,WA,98101,US,206-555-1212,production,M457698,TRUE,,FALSE
WAWA1.MM4,1/1/1900 00:00,2/21/2018 07:47,3333,2/21/2018 07:47,LCB Retail,4930938277,555 Brown St,,Olympia,WA,98101,US,206-555-1212,dispensary,R773948,TRUE,,FALSE
WAWA1.MM5,1/1/1900 00:00,2/21/2018 07:47,4444,2/21/2018 07:47,LCB Lab,4930938277,555 Brown St,,Tacoma,WA,98110,US,206-555-1213,lab,L883093,TRUE,,FALSE
WAWA1.MM6,1/1/1900 00:00,1/5/2021 18:06,163,,HIGHWATER FARMS,603172306,2400 W SKOKOMISH VALLEY RD,STE A,SHELTON,WA,985847402,US,3602293516,cultivator_production,J412223,TRUE,11/29/2021 16:00,FALSE
WAWA1.MM7,1/1/1900 00:00,1/5/2021 18:06,164,,TUMBLEWEED FARM,603324694,47504 N 108 PR NW,,BENTON CITY,WA,993206690,US,2067559304,cultivator_production,J412084,TRUE,8/30/2021 17:00,FALSE
WAWA1.MM8,1/1/1900 00:00,1/5/2021 18:07,165,,CANNAMAN FARMS,603325727,6218 NE 152ND AVE STE A,# A,VANCOUVER,WA,986825109,US,3606089883,cultivator,G412079,FALSE,8/30/2019 17:00,TRUE
WAWA1.MM9,1/1/1900 00:00,1/5/2021 18:07,165,,CANNAMAN FARMS,603325727,6212 NE 152ND AVE,STE B,VANCOUVER,WA,986825109,US,3606089883,production,M419969,FALSE,8/30/2019 17:00,TRUE
WAWA1.MMA,1/1/1900 00:00,1/5/2021 18:07,166,,HERBAN MYTH,603346938,281 MILL CREEK RD STE A,,LONGVIEW,WA,986329783,US,3605777734,cultivator,G412123,TRUE,11/29/2021 16:00,FALSE
WAWA1.MMB,1/1/1900 00:00,1/5/2021 18:07,168,,KOUCHLOCK PRODUCTIONS,603104650,1405 W HALF MOON RD,,COLBERT,WA,990050000,US,5094894201,cultivator_production,J423204,TRUE,4/29/2021 17:00,FALSE
