,global_id,created_at,updated_at,external_id,deleted_at,name,certificate_number,address1,address2,city,state_code,postal_code,country_code,phone,type,code,is_live,expired_at,suspended,Full_Address,main-address,Lat,Lon
3,WAWA1.MM4,1/1/1900 00:00,2/21/2018 07:47,3333,2/21/2018 07:47,LCB Retail,4930938277,555 Brown St,,Olympia,WA,98101,US,206-555-1212,dispensary,R773948,TRUE,,FALSE,555 Brown St Olympia,"North Brown Street, Olympia, Thurston County, Washington, 98506, United States",47.0480199,-122.8693843
120,WAWA1.MM3D,1/1/1900 00:00,1/5/2021 18:06,287,,BUD HUT,603359169,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,982828833,US,4254789928,dispensary,R413901,TRUE,7/30/2021 17:00,FALSE,1131 E STATE ROUTE 532 CAMANO ISLAND,,,
121,WAWA1.MM3E,1/1/1900 00:00,1/5/2021 18:06,288,,CANNARAIL STATION,603554896,1448 BASIN ST NW SUITE A,,EPHRATA,WA,988239695,US,5067541047,dispensary,R413366,TRUE,10/30/2021 17:00,FALSE,1448 BASIN ST NW SUITE A EPHRATA,,47.3207518,-119.5515985
122,WAWA1.MM3F,1/1/1900 00:00,1/5/2021 18:06,289,,GREENSIDE,603348991,23407 PACIFIC HWY S,,DES MOINES,WA,981988738,US,2067907036,dispensary,R414295,TRUE,11/29/2021 16:00,FALSE,23407 PACIFIC HWY S DES MOINES,"Greenside Recreational Cannabis, 23407, Pacific Highway South, North Highline, Des Moines, King County, Washington, 98198, United States",47.3916981,-122.2956843
124,WAWA1.MM3H,1/1/1900 00:00,1/5/2021 18:06,291,,WHIDBEY ISLAND CANNABIS CO.,603372702,1860 SCOTT RD,,FREELAND,WA,982499430,US,3603216151,dispensary,R423993,TRUE,1/30/2021 16:00,FALSE,1860 SCOTT RD FREELAND,"Scott Road, Freeland, Tittabawassee Township, Saginaw County, Michigan, 48623, United States",43.5320637,-84.1144736
125,WAWA1.MM3I,1/1/1900 00:00,1/5/2021 18:06,292,,CANNABIS CITY,603339269,2733 4TH AVE S 1ST FLOOR,1ST FLOOR UNIT,SEATTLE,WA,981341912,US,2066821332,dispensary,R413319,TRUE,10/30/2021 17:00,FALSE,2733 4TH AVE S 1ST FLOOR SEATTLE,"Seattle, Kaunlaran, Cubao, 4th District, Quezon City, Eastern Manila District, Metro Manila, 1111, Mindanao",14.6195488,121.0440164
128,WAWA1.MM3L,1/1/1900 00:00,1/5/2021 18:06,294,,STICKY'S,603344428,9411 NE HIGHWAY 99 STE 4,,VANCOUVER,WA,986658969,US,5099521602,dispensary,R421326,TRUE,10/30/2021 17:00,FALSE,9411 NE HIGHWAY 99 STE 4 VANCOUVER,"Northeast Highway 99, Lincoln, Vancouver, Clark County, Washington, 98663, United States",45.6646015,-122.6646679
132,WAWA1.MM3P,1/1/1900 00:00,1/5/2021 18:06,297,,CRAFT CANNABIS,603352415,6515 E MILL PLAIN BLVD,,VANCOUVER,WA,986617455,US,5033417097,dispensary,R413732,TRUE,11/29/2021 16:00,FALSE,6515 E MILL PLAIN BLVD VANCOUVER,"East Mill Plain Boulevard, North Garrison Heights, Vancouver, Clark County, Washington, 98664, United States",45.6228092,-122.5820354
134,WAWA1.MM3R,1/1/1900 00:00,1/5/2021 18:06,299,,THE BAKE SHOP,604310540,4007 MAIN ST,,UNION GAP,WA,989032040,US,5093149941,dispensary,R413596,TRUE,7/30/2021 17:00,FALSE,4007 MAIN ST UNION GAP,"4007, Main Street, Union Gap, Yakima County, Washington, 98903, United States",46.54753865,-120.4753006
135,WAWA1.MM3S,1/1/1900 00:00,1/5/2021 18:06,299,,STATION 420,603408357,4315 MAIN ST STE A,,UNION GAP,WA,989032115,US,5098335800,dispensary,R414250,FALSE,6/29/2018 17:00,TRUE,4315 MAIN ST STE A UNION GAP,"4315, Main Street, Union Gap, Yakima County, Washington, 98903, United States",46.54393804,-120.4759171
