,Unnamed: 0,global_id,created_at,updated_at,external_id,deleted_at,name,certificate_number,address1,address2,city,state_code,postal_code,country_code,phone,type,code,is_live,expired_at,suspended,Full_Address,main-address,Lat,Lon
2,121,WAWA1.MM3E,1/1/1900 00:00,1/5/2021 18:06,288,,CANNARAIL STATION,603554896,1448 BASIN ST NW SUITE A,,EPHRATA,WA,988239695,US,5067541047,dispensary,R413366,True,10/30/2021 17:00,False,1448 BASIN ST NW SUITE A EPHRATA,,47.3207518,-119.5515985
3,122,WAWA1.MM3F,1/1/1900 00:00,1/5/2021 18:06,289,,GREENSIDE,603348991,23407 PACIFIC HWY S,,DES MOINES,WA,981988738,US,2067907036,dispensary,R414295,True,11/29/2021 16:00,False,23407 PACIFIC HWY S DES MOINES,"Greenside Recreational Cannabis, 23407, Pacific Highway South, North Highline, Des Moines, King County, Washington, 98198, United States",47.3916981,-122.2956843
4,124,WAWA1.MM3H,1/1/1900 00:00,1/5/2021 18:06,291,,WHIDBEY ISLAND CANNABIS CO.,603372702,1860 SCOTT RD,,FREELAND,WA,982499430,US,3603216151,dispensary,R423993,True,1/30/2021 16:00,False,1860 SCOTT RD FREELAND,"Scott Road, Freeland, Tittabawassee Township, Saginaw County, Michigan, 48623, United States",43.5320637,-84.1144736
7,132,WAWA1.MM3P,1/1/1900 00:00,1/5/2021 18:06,297,,CRAFT CANNABIS,603352415,6515 E MILL PLAIN BLVD,,VANCOUVER,WA,986617455,US,5033417097,dispensary,R413732,True,11/29/2021 16:00,False,6515 E MILL PLAIN BLVD VANCOUVER,"East Mill Plain Boulevard, North Garrison Heights, Vancouver, Clark County, Washington, 98664, United States",45.6228092,-122.5820354
11,139,WAWA1.MM3W,1/1/1900 00:00,7/12/2019 18:33,302,,GREEN STOP CANNABIS                          ,603475611,7466 MT BAKER HWY             ,,MAPLE FALLS             ,WA,982660000,US,3607468734,dispensary,R413801,True,1/30/2020 16:00,False,7466 MT BAKER HWY              MAPLE FALLS             ,"Green Stop Cannabis LLC, 7466, Mount Baker Highway, Maple Falls, Whatcom County, Washington, 98244, United States",48.92440045,-122.0790703
16,155,WAWA1.MM4C,1/1/1900 00:00,7/12/2019 18:33,321,,LOVELY BUDS DIVISION                         ,604304091,1403 N DIVISION ST STE A      ,,SPOKANE                 ,WA,992083638,US,2082904347,dispensary,R410798,True,7/30/2019 17:00,False,1403 N DIVISION ST STE A       SPOKANE                 ,"Centre Place Plaza, 1403, North Division Street, Garfield, Spokane, Spokane County, Washington, 99258, United States",47.67088365,-117.4117589
17,156,WAWA1.MM4D,1/1/1900 00:00,1/5/2021 18:06,322,,CLEAR CHOICE CANNABIS,603267081,8001 S HOSMER ST,,TACOMA,WA,984081017,US,2534445444,dispensary,R413358,True,1/30/2022 16:00,False,8001 S HOSMER ST TACOMA,"8001, South Hosmer Street, Tacoma, Pierce County, Washington, 98408, United States",47.184541,-122.463066
19,158,WAWA1.MM4F,1/1/1900 00:00,1/5/2021 18:06,324,,CASCADE HERB COMPANY,603358738,1240 E MAPLE ST STE 103,,BELLINGHAM,WA,982255749,US,3607782357,dispensary,R415094,True,12/30/2021 16:00,False,1240 E MAPLE ST STE 103 BELLINGHAM,"Cascade Herb Company, 1240, East Maple Street, Sehome, Bellingham, Whatcom County, Washington, 98225, United States",48.7396745,-122.4703944
20,160,WAWA1.MM4H,1/1/1900 00:00,1/5/2021 18:06,326,,GOODBUDS,602377723,5384 NW K RD STE A,,QUINCY,WA,988480000,US,5093988843,dispensary,R415294,True,3/30/2021 17:00,False,5384 NW K RD STE A QUINCY,,47.16792,-119.7266
22,163,WAWA1.MM4K,1/1/1900 00:00,1/5/2021 18:06,329,,CASCADE KROPZ,603365603,19127 SMOKEY POINT BLVD BLDG 1,,ARLINGTON,WA,982234264,US,3606595422,dispensary,R425539,True,1/30/2022 16:00,False,19127 SMOKEY POINT BLVD BLDG 1 ARLINGTON,"Arlington Police, Smokey Point Drive, Smokey Point Village, Totem Park, Arlington, Snohomish County, Washington, 09223, United States",48.1535651,-122.1873866
